title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills,description_kw,description_summ
senior data product developer,27-01-2023,New Zealand Government,2.6,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,"sql,snowflake,power bi,git",,"reporting,organisation,team building,respectful,training,flexible",ōyou. wellington. build. work. experience. team. data,senior data product developer work part squad wider team developer analyst engineer across full lifecycle data product development engage user design build test deploy support data bi product solution need succeed rapidly changing evolving data landscape. ngā pūmanawatanga ōyou bring particularly interested people strength one following solid understanding data ecosystem data flow proven experience star schema data model design proven experience datafocused language ideally sql andor dax similar proven experience designing building complex performant usercentric report power bi similar toolset familiarity snowflake git powerapps andor matillion equivalent tool would useful. senior data product developer x3 permanent 99315 124144 indicative wellington remote permanent looking capable developer experience bi data product development join flagship team great opportunity get involved modern technology stack brand new data warehouse. mō te tūnga role performance application innovation team building future data tool oranga tamariki currently focused contributing larger programme work creating new modern data platform data reporting solutions. key aspect programme team responsible involve understanding determining data collect data matter using information build futurestate reporting system leading engagement new system drive better outcome across oranga tamariki
data and analytics manager,25-02-2023,Ryman Healthcare,,,,"Fulltime, Permanent",,True,Fully,Christchurch,Canterbury,-43.5309,172.6365,,"machine learning,analytics","reporting,entrepreneurial,communication,organisation,confidence,flexible",membership. quo. skill. nzs. environment. work. team. data,addition career ryman offer ongoing support professional development additional wellbeing leave flexible working arrangement option working home access 60 discount wellknown brand across variety sector including health wellbeing banking insurance retail social club event furry friday bring dog work free yoga class free gym membership proven experience leading data team proven experience developing implementing roadmaps value people kindness passionate delivering result strive excellence look way exceed expectations. deliver confidence fastpaced environment believe value strong positive trusting team work together one resilient demonstrate composure pressure value communication clear effective lack ambiguity interested joining organisation clear purpose commitment innovation kindness excellence would love hear application reviewed received interview may take place prior close date. enjoy freedom innovate drive excellence data analytics space continue develop technical skill supportive environment join one nzs successful fastest growing company ryman healthcare ryman believe measure full life one get richer age. use passion data analytics develop lead group data analytics reporting platform service ryman. trailblazing spirit felt every ryman experience like sound read exciting opportunity lead data analytics team
data scientist,02-03-2023,ICE BASE,,55000.0,year,"Fulltime, Permanent",Masters,True,Fully,Auckland City,Auckland,-36.85,174.7833,"aws,python",machine learning,"planning,mentoring,reasoning,networking",skills. eastern. programme. community,looking solid track record working data scientist example outcome proud delivered comprehensive understanding fundamental design system behind building reliable scalable fitforpurpose machine learning model infrastructure strong experience python familiarity development backend tech stack strong understanding data engineering best practice aws infrastructure experience working agile development practice crossfunctional development team understanding common development process version control continuous integrationdelivery code review pair programming someone product oriented care customer experience able solve reallife customer problem evidencedbased reasoning decisionmaking ability make tradeoff realworld constraint someone take responsibility project delivers complete work work alongside place role connects passion qualifications. programme part ice early career community programme mean access great employer partner offer phoenix generation community meaningful professional career pathway industry tech insurance government financial service law professional service ability network growthminded young professional aotearoa new zealand future leaders. phoenix generation career pathwayfocused community programme migrant 1st generation refugee student graduate young professional identify within middle eastern latin american african asian continental european ethnic community aotearoa new zealand. 00 per year benefit employee discount employee mentoring program professional development assistance work home schedule monday friday supplemental pay type bonus ability commuterelocate auckland city auckland reliably commute planning relocate starting work preferred. programme designed support create networking opportunity develop industry skills
kaitātari  insights analyst joint evidence data and insights group,25-02-2023,New Zealand Government,,,,"Fulltime, Permanent",Masters,True,Fully,Christchurch,Canterbury,-43.5309,172.6365,,"research,analytics","reporting,independent,project management,management,communication,organisation,analytical,analysis,research,adaptability,flexible",hua. successful. organisation. ngā. mfe. apply. environmental. work,looking people bring following analytical skill strong written oral science communication skill knowledge data science domain science experience code based analysis reproducibility data visualisation able connect others applying influencing skill building relationship experience working local government ability work across number work stream manage competing priority comfort working ambiguity adaptability changing priority ability apply project management principle drive continually grow develop around commitment developing capability capacity te ao māori whānuitanga utu ātau salary range salary range role 77280 93565 pa. ngā hua ka puta te mahi ki mfe benefit working mfe flexible default approach create healthy worklife blend agile way working allowing variety challenge across organisation work one mfe generous leave entitlement active employee network including māori rōpū asian network neurodivergent disability network woman network tagata moana pacific people network rainbow network opportunity development education. accurately reflect te tiriti waitangi te ao māori everyday work delivering te ao hurihuri māori capability strategy. group delivers knowledge evidence science support environmental reporting policy programme amend environmental reporting act 2015 development environment climate research strategy development mfes long term insight briefing. ideally would relevant experience bring role able demonstrate skill described strong learning agility ability work independently part team
data scientist,01-03-2023,New Zealand Government,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,"azure,cloud","ai,analytics","collaboration,management,communication,organisation,risk management,management development,flexible",trust. successful. wider. ngā. māori. zealand,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. committed continuing partner iwi order find new sustainable solution address long standing systemic crosscutting issue facing māori wider aotearoa new zealand also committed identifying opportunity iwi lead creating enabling environment iwi leverage opportunities. excellent communication skill proven ability develop trust credibility manager staff develop strong working relationship must new zealand citizen permanent resident apply position work u part team making real difference new zealand. discover career purpose mbie discover career purpose mbie make data count join diverse supportive team making difference opportunity use skill knowledge growing data science business capability immigration new zealand
data entry support,02-03-2023,Transdev,,,,Fixed term contract,,False,,Wellington City,Wellington,-41.2889,174.7772,,,data entry,key. support. finance. commercial,job noad1998 work typecontracttemp locationwellington categoriestrain provide data entry support finance commercial team assist collating key business information data ensure data integrity accuracy assist support finance commercial team achieving goal objective support development positive culture across business stakeholder internal external support refinement system procedure streamline process generate new idea drive culture continuous improvement provide administrative office support finance commercial team duty responsibility may required determined manager time time. advertised01032023 application close06032023
data  systems analyst,02-03-2023,ICE BASE,,55000.0,year,"Fulltime, Permanent",Masters,True,Fully,Auckland City,Auckland,-36.85,174.7833,python,research,"navigation,reasoning,networking,consulting,collaboration,planning,communication,analytical,research,mentoring",skills. eastern. programme. community,programme part ice early career community programme mean access great employer partner offer phoenix generation community meaningful professional career pathway industry tech insurance government financial service law professional service ability network growthminded young professional aotearoa new zealand future leaders. phoenix generation career pathwayfocused community programme migrant 1st generation refugee student graduate young professional identify within middle eastern latin american african asian continental european ethnic community aotearoa new zealand. 00 per year benefit employee discount employee mentoring program professional development assistance work home schedule monday friday supplemental pay type bonus ability commuterelocate auckland city auckland reliably commute planning relocate starting work preferred. working part crossfunctional team contributing teammate success encouraging collaboration task sharing finally startup rolling sleeve helping whatever required succeed mission knowing whole organization work alongside place role connects passion qualifications. looking strong experience python datawrangling package evidencedbased reasoning decisionmaking ability make tradeoff realworld constraint strong analytical skill break complex problem manageable component draw useful conclusions
head of data,28-02-2023,TOWER Insurance,,,,Permanent,,False,,Auckland City,Auckland,-36.85,174.7833,,"ai,analytics","reporting,multitasking,organisational,time management,planning,management,communication,leadership,organisation,analytical,innovative,relationship management,management communication,flexible",symbol. opportunity. insight. lead. tower. data,overall accountability organisation data asset resource develop mature tower capability key area data platform engineering data governance data insight analytics advanced analytics using ai ml. reporting chief digital data officer lead function deliver build data capability enables business leverage data everywhere drive superior business customer outcome tower nz pacific. six week wellness leave instead sick leave proactively look health wellbeing get sick career growth promote internal capability programme recognise star performer flexible workplace opportunity beautiful new fanshawe st office discount tower insurance product 50 free life insurance four time annual base salary paid parental leave top 12 week retail deal discount apply confidential discussion reach talent acquisition lead mandie pierson 021 240 5979. drive business outcome using data analytics deliver value organisation data asset including external data enrichment sources. head data evangelist data championing datacentricity across aspect tower guiding business become truly data led
administrator data quality,,Wellington Water,,,,Fulltime,,True,Fully,Lower Hutt,Wellington,-41.2167,174.9167,,"time series,geospatial","management,data management,flexible",good. human. apply. service. water,entrylevel role working closely wider digital product service dp team responsible supporting ingestion ongoing improvement critical data set across different domain data type including geospatial data map service core operations. sound like would love hear please click view benefit application close 5 pm wednesday 22nd march 2023 apply view copy position description click apply role click apply button visit wellington water career site apply role must hold right work new zealand information email joinuswellingtonwater. join u exciting time working water sector forefront looking precious asset water human health welfare environment proposed change sector increasing awareness around importance managing three water creating new opportunities. keen interest growing data management experience accuracy attention detail strong point based petone office flexible working arrangement available full time position 40 hour per week remuneration range role 67382 95528 including kiwisaver depending skill experience. data quality function within dp team champion importance quality wellmanaged data across part wellington water
data analyst,,Seequent,,,,,,True,Hybrid,Christchurch,Canterbury,-43.5309,172.6365,"azure,salesforce,snowflake,tableau,power bi","visualization,dashboard,forecasting,analytics","reporting,collaboration,management,communication,leadership,data management,interpersonal communication,training",enjoy. successful. apps. connecting. experience. build. team. work. data,retrieve data multiple source consolidate reusable solution collaborate data analyst deliver consistent business logic data definition collaborate report user ensure continue meet requirement help foster understanding data mean interpret enable deeper understanding customer interacting every point lifecycle seequent including sale process product usage. would like work global leader field apply data experience help create opportunity future growth would love hear role opportunity implement beautiful report power bi answer key question easily best visualisation data interpretations. company seequent build worldleading subsurface software helping create better understanding earth ensure better world constantly evolving forefront technology transform geoprofessionals work eliminating barrier understanding connecting software team tool need. navigate sewing data together create informative insight alongside development data platform data storage layer unified. role focus helping drive seequents goal making datadriven decision core practice seequent leveraging strategic use transactional behavioural market data across aspect operation sale support marketing product development
senior data scientist,25-02-2023,Visa,,,,Fulltime,Masters,True,Hybrid,Auckland City,Auckland,-36.85,174.7833,"jupyter,python,rstudio,r","segmentation,machine learning,time series,analytics","dedication,literacy,stakeholder management,planning,management,communication,team player,analytical,innovative,relationship management,flexible",clientfirst. institution. problemsolving. high. work. team. data,role also lead delivery data science project transforming business requirement analytics problem answered develop implement maintain model area predictive modelling churn modelling customer segmentation time series natural language mentor member data science team wide analytics community data science technique influence contribute data science assessment planning maintaining ensuring alignment strategic direction analytics service tool platform champion data science use new tool technique solve business problem work collaboratively wider analytics team platform provide collective insight value stakeholder work technical standard tooling policy guardrail data chapter. also help high performance delivery focus high attention detail excellent client engagement relationship management skill collaborative approach stakeholder management strong team orientation collaborative diplomatic flexible style able work effectively across multiple team innovation minded high problemsolving skill demonstrated intellectual analytical rigor selfmotivated resultsoriented individual ability progress multiple priority concurrently adept data crunching passionate unearthing significant pattern meaningful insight proactive selfstarter always learner team player able work virtual environment eye accuracy ability selfmanage multiple data set data request flexibility respond quickly additional information visa eeo employer. job description senior data scientist managed service auckland new zealand 12 month fixed term contract team summary managed service part visa consultancy division serving visa client including card issuer acquirer merchant solving strategic problem focused improving performance profitability. make suggestion achieving team goal performing team function provides necessary assistance remove obstacle help team accomplish goal building strategic work relationship developing using collaborative relationship achieve work goals. qualification key competency solutionmind set applying creative problemsolving technique championing clientfirst approach customer insight opportunity challenge arise meet specific business objective active contributor team success actively participating member team move team toward completion goals
data analyst auckland  hamilton,28-02-2023,Tomra,,,,Fulltime,,False,,Auckland City,Auckland,-36.85,174.7833,powerbi,"cleaning,visualization,data mining,analytics","management,communication,numeric,analytical,analysis,training",analytical. skills. europe. production. based. mining. tomra,additional information work u longterm career opportunity globally renowned company following birthday leave day u company laptop phone love innovation offer collaborative environment idea sharing thinking outside box encouraged global career opportunity strong record promoting internally professional training development passionate people seeing succeed. company description tomra food design manufacture sensorbased sorting machine integrated postharvest solution transforming global food production maximize food safety minimize food loss making sure every resource counts. job description tomra rely powerfully insightful data inform system solutionsand seeking experienced data analyst put use. tomras business division comprise tomra recycling tomra mining tomra collection. qualification skill experience experience mining data data analyst
data scientist,01-03-2023,"Ministry of Business, Innovation & Employment",,,,"Fulltime, Permanent",,False,,Wellington City,Wellington,-41.2889,174.7772,"azure,cloud","ai,analytics","collaboration,management,communication,organisation,risk management,management development,flexible",rōpū. successful. environment. christchurch. ngā. māori. zealand,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. committed continuing partner iwi order find new sustainable solution address long standing systemic crosscutting issue facing māori wider aotearoa new zealand also committed identifying opportunity iwi lead creating enabling environment iwi leverage opportunities. excellent communication skill proven ability develop trust credibility manager staff develop strong working relationship must new zealand citizen permanent resident apply position work u part team making real difference new zealand. date 27feb2023 location wellington nz 6011 christchurch nz 8013 auckland nz 1010 discover career purpose mbie make data count join diverse supportive team making difference opportunity use skill knowledge growing data science business capability immigration new zealand
data analyst insights  employment services,01-03-2023,"Ministry of Business, Innovation & Employment",,,,"Fulltime, Permanent",,False,,Wellington City,Wellington,-41.2889,174.7772,"excel,power bi","ai,analytics","reporting,organisation,analytical,analysis,decision making,flexible",rōpū. wider. skill. connecting. issue. team. ngā. data. māori,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. talk u might work u ngā pukenga ngā wheako e hiahiatia ana skill experience required advanced skill database analytical tool power bi sa eg sa visual analytics m excel experience provision insight information solution business information internal external customer good understanding statistical trend analysis proven knowledge experience analysing business information need ability translate business information requirement experience creating value use advanced modelling statistical analysis track record delivering solution make sense organisation consistently high standard ability translate complex technical information information easily understood nontechnical staff ētahi kōrero mō mbie mbie mbies goal create resilient highperforming economy delivers real ongoing quality life new zealanders. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. date 27feb2023 location wellington nz 6011 discover career purpose mbie salary range 81000 97000 wellington central permanent role thrive understanding providing business data insight connecting dot seeing bigger picture looking role us analytical capability including identifying monitoring evaluating reporting outcome issue trend challenge tēnei tūranga role data analyst insight service advice analysis team within regulatory advisory service support employment service activity using sound data extraction analysis help inform decision making across employment relation employment standard system. mā te whai kiko ngā kōtuinga ahungaroa ngāi wi ngāi māori ētahi atu rōpū māori ki te karauna katutuki tēnei
she data systems senior advisor,02-03-2023,KiwiRail,,,,"Fulltime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,"sql,power bi","dashboard,kpi","reporting,management,analytical,analysis,management development,flexible",job. insight. whānau. keeping. opportunity. full. career,key responsibility include develop deliver statistical analysis service business covering zero harm related statistical data assist management development underpinning reporting data storage system ensuring system remain fit purpose consistent clean process merge various data set multiple source draw insight developing visual report dashboard kpi scorecard using power bi ensure stakeholder aware performance standard need critical thinker assist team predictive modelling exploration programming options. date 01mar2023 location auckland kiwirail holding ltd nz 1051 business unit zero harm position status permanent employment type full time level experience experienced looking committed person start career role become part one winning team located auckland full time permanent hour mondayfriday life journey kiwirail great way keeping career moving fastpaced inspiring truly customerfocused culture career connect real opportunity balancing work whānau life. success handson experience power bi sap business object 5 year experience bi data warehouse data solution bi develop prepare accurate numerate report internal external consumption sql phyton related programming language experience desirable get kiwirail support development willing expose opportunity keen learn grow us. reporting zero harm data insight manager responsible developing strategic approach collect management incident related data. improve provide data analytical reporting advice development enterprisewide risk profile business unit risk profile
data analyst insights  employment services,01-03-2023,New Zealand Government,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,"excel,power bi","ai,analytics","reporting,organisation,analytical,analysis,decision making,flexible",rōpū. wider. skill. connecting. issue. team. ngā. data. māori,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. talk u might work u ngā pukenga ngā wheako e hiahiatia ana skill experience required advanced skill database analytical tool power bi sa eg sa visual analytics m excel experience provision insight information solution business information internal external customer good understanding statistical trend analysis proven knowledge experience analysing business information need ability translate business information requirement experience creating value use advanced modelling statistical analysis track record delivering solution make sense organisation consistently high standard ability translate complex technical information information easily understood nontechnical staff ētahi kōrero mō mbie mbie mbies goal create resilient highperforming economy delivers real ongoing quality life new zealanders. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. discover career purpose mbie discover career purpose mbie salary range 81000 97000 wellington central permanent role thrive understanding providing business data insight connecting dot seeing bigger picture looking role us analytical capability including identifying monitoring evaluating reporting outcome issue trend challenge tēnei tūranga role data analyst insight service advice analysis team within regulatory advisory service support employment service activity using sound data extraction analysis help inform decision making across employment relation employment standard system. mā te whai kiko ngā kōtuinga ahungaroa ngāi wi ngāi māori ētahi atu rōpū māori ki te karauna katutuki tēnei
data analyst and process improvement lead,02-03-2023,City Care,,,,"Fulltime, Permanent",,False,,Christchurch,Canterbury,-43.5309,172.6365,"excel,tableau,power bi",,"reporting,literacy,organisational,relationship building,collaboration,planning,communication,organisation,analytical,analysis,teamwork,decision making",agency. communities. skill. process. data,key deliverable modelling data multiple system supporting data driven decision providing accurate timely accessible analysis recommendation ensuring accuracy integrity security data identifying recommending new way create efficiency streamlining business process skill experience looking someone passionate data data literacy data use delivery insight engage wider business. ideally following skill experience proven analytical problemsolving ability experience data model reporting package data visualisation tool power bi tableau excel infographics track record fostering collaboration champion datadriven culture interpreting current future state process map visio similar identifying area improvement ability effectively prioritise execute task highpressure environment exceptional organisational teamwork interpersonal skill technical experience balanced excellent relationship building communication skill level business internally externally. opportunity reporting national workforce planning manager data analyst process improvement lead work alongside operational team create meaningful data identify trend insight support decision making championing process improvement. benefit culture access discounted health insurance employee assistance programme access mental health first aiders genuine opendoor across level organisation worklife balance flexi work option available great team culture find people love working citycare property httpswww. take responsibility good kiwi company seriously continuously focused ensuring company force good particularly sustainability broadest sense social environmental cultural economic
data scientist,01-03-2023,New Zealand Police,,,,"Fulltime, Permanent",,False,,Lambton Quay,Wellington,,,,"dashboard,analytics","reporting,communication,leadership,analytical,data analysis,analysis,innovative,flexible",mind. team. prevention. url. ghic. copy. data,providing technical expertise advice regarding data analysis development mining maintenance data set bringing together interpreting range datasets support analyst team enabling ghic tell comprehensive story broaden understanding gangrelated harm trauma within community key accountability ability enhance efficiency effectiveness accountability ghic developing maintaining multiagency data set data dashboards. support delivery outcome data scientist contribute gangrelated harm reduction prevention disruption harmful behaviour within community supporting development nationally standardized insight inform support prevention intervention enforcement activity ensuring data science analytics inform design development ghic reports. data scientist gang harm insight centre start based fusion hub lambton quay wellington band j starting 102178k pa permanent role purpose ghic provide holistic understanding harm caused within new zealand adult gang community particular focus social structure underpin harmful behaviour. technical analytical skill use complex data associated reporting tool good understanding technical element data statistic ability create dashboard visual tool infographics support communication initiatives. data storytelling ability build compelling narrative based complex data analytics help tell story influence decision maker take action
business analyst  data focus,25-02-2023,Platinum Recruitment Limited,,,,Fulltime,Bachelors,True,Fully,,,,,,,"reporting,project management,management,data analysis,analysis,business analysis,decision making,stakeholder management",discussion. team. opportunity. data. role,platinum recruitment proud member diversity work new zealand believe equal opportunity actively promote diversity inclusion recruitment process workplace inclusion well well work leading nz brand execute global marketled strategie great opportunity ba passionate data lead improvement. role key aspect role ensure mapped process presented consistent methodical way understood impacted party including ability others reuse process enhancement. requirement role include adhoc reporting data query data migration testing project system support particularly change transitioned production aspect project management training. apply know right role please hit apply learn role confidential discussion reach alicia nick. excited joining force partner present opportunity business analyst experience data supply chain logistics join team
senior data governance and insights advisor,28-02-2023,New Zealand Government,,,,Fixed term contract,,False,,Wellington City,Wellington,-41.2889,174.7772,,"artificial intelligence,analytics","business intelligence,planning,communication,leadership,analysis,flexible",succeed. clarifying. leadership. worksafe. regulatory. intelligence,successful bring qualification tertiary qualification related discipline skill experience data information governance skill experience achievement numerical analysis business planning use spreadsheet database tool proven experience communicating variety client providing solution understanding machinery government public sector process ability work across three regulatory intelligence team business intelligence intelligence analysis advanced analytics artificial intelligence previous experience delivering culturally sensitive reportsprojects preferable full position description available advert career centre worksafe new zealand salary range part remuneration framework full salary range position 102460 136613 expected starting base salary right person 110998 119536. role senior data governance insight advisor work across three regulatory intelligence team business intelligence intelligence analysis advanced analytics artificial intelligence assist manager regulatory intelligence implement best practice process within team promote data information governance within worksafe enable delivery selfservice data insight product internal external clients. join growing team making impact health safety wellbeing new zealander fixed term position jan 2024 wellington based preferred consider location right person starting salary range 110998 119536 senior data governance insight advisor member regulatory intelligence leadership team provide input key initiative project agreed leadership team. role create maintain key internal relationship across worksafe provide manager regulatory intelligence advice coordinate oversee align data governance user experienceclient focused output manage key correspondence communication manager regulatory intelligence foster open collaborative environment encourages quality innovation ongoing learning knowledge sharing. offer range benefit including discount health insurance eye care four week annual leave plus three day worksafe leave 15 day sick leave 400 contribution towards setting home workstation learning professional development opportunity operate flexible default basis allowing manager create flexible work experience support business succeed
data delivery manager,01-03-2023,Fonterra,,,,Permanent,,False,,Auckland City,Auckland,-36.85,174.7833,,,"reporting,collaboration,project management,management,communication,organisation,coordination,relationship management",technology. monitoring. owned. fdp. insight. service. data,key responsibility include managing backlog request generated demand management process ensuring effective efficient management operational delivery data service catalogue offering including ensuring appropriate resourcing level achieve providing service performance reporting business unit relevant agreed service level standard monitoring improving service delivery reviewing performance metric obtaining feedback driving required change provision service providing vital interface data service delivery business unit customer including single point contact escalation resolution data service delivery issues. data delivery manager responsible coordination delivery data service centralised data insight delivery team demand generated via data demand management process working conjunction data chapter lead data steward manager service delivery manager fonterra business aligned teams. delivering new data service capability business including working collaboration fdp programme enables capability build data service customer focused service managementproject delivery professional experience across data technology platform large complex multi system environment. opportunity part transformation within fonterra data insight team commenced journey establish fonterra data platform fdp trusted single source data data service model available across fonterra including full service selfservice offerings. context excited introduce newly created data delivery manager role data insight team manage enduring capability service including data ingestion modelling exploration visualisation insight delivered fdp programme
data analyst,01-03-2023,Octopus Energy,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,"sql,python,spark,cloud,aws,airflow,jupyter,github,kubernetes","analytics,time series,dashboard,machine learning,optimization,pipeline,forecasting","collaboration,management,writing,analysis,innovative,flexible",mission. success. people. energy. data,even need operate run data stack aws cloud infrastructure databricks delta lake data lake warehouse storage querying dbt data modelling transformation lightdash bi tool spark large data processing python data ecosystem main scripting analytics language jupyter jupyter hub notebook analytics collaboration airflow task scheduling kubernetes data service task orchestration github circle ci grafana prometheus version control deployment monitoring streamlit serving data product need passion working energy contributing energy transition curiosity selfdrive early data employee essential initiative make decision find solution novel problem without lot help support engineering mindset eager build robust tool also need experience technology python scripting basic app development writing query sql building report dashboard bi tool statistical modelling time series forecasting experience using github workflow love u company culture best company work 2019 ceo greg recorded podcast culture empower people flexible working environment genuine work life balance top 5 company uk treat human best make work life merge smoothly together equity option scheme part business share option whole octopus energy group work together towards success office culture certain tech requirement best get office also stocked fruit breakfast great coffee soft drinks. weekly friday get together happens virtually company update drink call family dinner social event sponsor yeovalleys summer festival valleyfest every year big offsite summer party take kid also aim 3 party year fitness weekly yoga secure bike storage shower free gym access wellington office development important support help development including internal external course learning study support etc bespoke sound like would love hear study shown group people like woman le likely apply role unless meet 100 job requirements. data team consists scientist analyst retail business global data engineering team support focus building analytics report dashboard regulatory market submission data pipeline feed support operation sale marketing become domain expert supporting management question importantly making sure right question asked. reinvented energy product smart data driven tariff balance customer demand renewable generation biggest investor renewable generation uk. mission drive global renewable energy revolution need load people help u make vision reality
data  systems administrator,24-02-2023,New Zealand Rugby,,,,Fulltime,,False,,Auckland City,Auckland,-36.85,174.7833,,"dashboard,cleansing","reporting,collaboration,management,troubleshooting,administration,organisation,training,flexible",group. efficiently. nzr. commercial. rugby. zealand. system,full time application close 08 mar 2023 auckland auckland database administrator new zealand rugby commercial nzrc one new zealand largest sporting organisation looking data system administrator join winning team assist u effectively efficiently supporting data system nz rugby commercial new zealand rugby affiliated staff members. new zealand rugby commercial u new zealand rugby commercial small dedicated team based two main office wellington auckland. looking join organisation everyone nickname two day role passionate technology professional wanting work multiple system great collaboration skill would like hear nzrc nzr diverse inclusive culture certified rainbow tick. successful role experience troubleshooting principle methodology issue resolution technique provided local remote support enterprise system lvl2 understanding data taxonomy management fair use data privacy dashboard reporting system administration. nzrc going significant digital change many new system process established enable technology strategy customer engagement projects
lead data analyst,23-02-2023,MEGA,,,,"Fulltime, Permanent",,True,Fully,Auckland City,Auckland,-36.85,174.7833,"cloud,sql",analytics,"reporting,business acumen,management,communication,leadership,data analysis,analysis,motivated,flexible",sql. exhibit. apps. cloud. businesses. team. working. data,core responsibility role establishing growing analytics strategy consultation senior management collaborating engineering product team improve megas data collection capability across platform processing analysing assimilating data identify information trend relevant business provision recommendation based finding improving reporting accessibility widespread understanding data internal stakeholder capturing maintaining documentation relating data analysis reporting including requirement analysis data source data transformation method interpretation regularly assessing validating data data integrity data collection process ensure quality accuracy clarity sound interpretation please note working alongside global workforce role may require evening work communicate team different time zones. also 5 year experience technical business analystsenior data analyst working data reporting project robust background requirement gathering data analysis data modelling outstanding communication skill excellent business acumen ability translate data comprehensive summary practical insight suggestion working knowledge sql would also highly beneficial role. role lead data analyst tasked establishing developing thorough data analytics capability mega. location auckland working remotely within nz job type fulltime permanent mega mega privacy company provides global service head office auckland. building upon existing statistical framework identify new avenue data capture analysis drive implementation thereof
data entry and reconciliations,02-03-2023,H2R Consulting,,,,Fixed term contract,,False,,Wellington City,Wellington,-41.2889,174.7772,,,management,office. cbd. money. wellington. temp,location wellington type contract temp reference 673007 immediate start temp position wellington cbd fun office great perk good money h2r looking behalf fund management company three temp assist overflow work. anywhere 412 week plus. also perm job opportunities. available great eye detail experience field please call 021 337 598 apply
data collection specialist  matamata parttime  remote,25-02-2023,New Zealand Government,,,,Parttime,,True,Fully,,Waikato,,,,,"literacy,time management,management,organisation,customer service,training,coaching",tuku. interviews. ngo. apply. respondent. life. data. work,nōyou te rourou bring strength strong ability communicate people time optimiser relationship rapport builder attention detail strong customer service focus essential access fast reliable internet service home workrelated activity current full driver licence reliable vehicle comprehensive vehicle insurance flexibility work evening weekend digital technical literacy good time management skill desire learn build knowledge experience te tiriti tikanga te reo te ao māori engagement māori. develop grow career coaching training study support secondment contribute meaningful work make difference people aotearoa 3 extra annual leave day taken christmas office closure see career site benefit network pēhea te tuku tono apply encourage application truly committed diversity inclusion lifting cultural capability. big part role entail field work visiting local home conduct facetoface interview respondent remote work home via phone email schedule visit follow respondent data collection activity dc contribute creation resource information aim improve enhance life nz. learn check list survey remote work requires someone work efficiently must access fast reliable internet current driver license roadworthy vehicle. ko mātou u tatauranga aotearoa stats nz central government employer around 1400 people across aotearoa
