title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills
customer data insights  reporting manager,04-07-2022,Davidson Recruitment,4.8,,,Fulltime,,True,Hybrid,Frankston,Victoria,-38.158,145.135,,research,"flexible,research,customer service,organisational,reporting,collaboration,organisation"
data analystmodeller,02-07-2022,Talent International,4.4,127075.0,year,Fulltime,Bachelors,True,Fully,Brisbane,Queensland,-27.4678,153.0281,,,"data management,reporting,analysis,management,organisation"
data analyst  business optimisation,02-07-2022,Westpac Group,3.9,,,Fulltime,Masters,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,powerbi,analytics,"flexible,leadership,it,customer service,business management,analysis,reporting,training,data analysis,risk management,management,communication,planning,written communication"
senior analyst data management,28-06-2022,Commonwealth Bank,4.0,,,Fulltime,,False,,Sydney Central Business District,New South Wales,,,,"analytics,recommendations","flexible,data management,analysis,reporting,business analysis,management,planning,productivity"
senior database administrato,01-07-2022,Coles Supermarkets,3.8,,,Fulltime,,False,,Hawthorn East,Victoria,,,"azure,sql,oracle,sql server",tuning,"innovative,flexible,leadership,it,analytical,training,coordination,management"
database analyst,24-06-2022,Geelong Grammar School,4.9,,,Fulltime,,False,,Corio,Victoria,,,sql,,creativity
data warehouse and business intelligence administrator,28-06-2022,Clicks IT Recruitment,5.0,,,"Fulltime, Permanent",,False,,New South Wales,,,,sql,"pipeline,etl,tuning","management,business intelligence,it"
data governance analyst,23-06-2022,Profusion Group,5.0,700.0,day,Fulltime,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,,pipeline,"management,communication,data management"
data operations analyst regulatory reporting,25-06-2022,Westpac Group,3.9,,,Fulltime,Masters,True,Fully,Sydney,New South Wales,-33.865,151.2094,"tableau,sql,sas,excel",,"it,analytical,customer service,data management,analysis,reporting,training,attention to detail,business analysis,management,planning"
product data management specialist,05-07-2022,BOEING,3.9,,,Permanent,,False,,Amberley,Queensland,,,,,"innovative,data entry,data management,respectful,management,communication"
data centre engineer team leader,24-06-2022,Interactive Pty Ltd,3.9,,,,,False,,Brisbane,Queensland,-27.4678,153.0281,cloud,,"leadership,it,customer service,managing a team,reporting,coordination,management,mentoring,organisation"
senior analyst data management,,NSW Government -Planning,,119122.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,power bi,"statistics,forecasting,research","decision making,research,it,analytical,customer service,strategic planning,analysis,data analysis,management,planning,organisation"
group manager  data science,27-06-2022,nib health funds,4.2,,,Fulltime,,True,Fully,Newcastle,New South Wales,-32.9167,151.75,"nodejs,cloud,scala,aws,python,r,sagemaker","computer vision,nlp,machine learning,artificial intelligence,deep learning,analytics","innovative,business acumen,flexible,leadership,analytical,reporting,collaboration,organisation"
senior data scientist,01-07-2022,Redbubble,4.2,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,aws,cloud,python,sagemaker,airflow","machine learning,statistics,research,ab testing","stakeholder management,research,flexible,analytical,training,management,communication,creativity,team player"
senior data analyst,28-06-2022,TAL,3.6,,,Fulltime,Bachelors,False,,Sydney,New South Wales,-33.865,151.2094,"sql,azure,spark,python,pandas","analytics,statistics,econometrics","innovative,enthusiastic,flexible,leadership,it,analytical,analysis,data analysis,risk management,management"
data analyst,02-07-2022,Skedaddle Recruitment Pty Ltd,,,,Fulltime,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"r,google data studio",exploratory,"analytical,analysis"
data engineer,24-06-2022,DXC Technology,3.2,,,Fulltime,,False,,Macquarie Park,New South Wales,,,"java,r,spark,cloud,scala,python,elasticsearch,hadoop","analytics,cleansing","it,analytical,consulting,training,attention to detail"
senior manager data analytics,25-06-2022,NSW Government -Sydney Metro,4.0,,,Fulltime,,True,Temporarily,Sydney,New South Wales,-33.865,151.2094,"sql,cloud","analytics,geospatial,machine learning","business intelligence,decision making,motivated,leadership,it,flexible,analysis,collaboration,reporting,writing,management"
data centre roles,04-07-2022,Charterhouse,,,,,,False,,Sydney,New South Wales,-33.865,151.2094,,,"it,time management,customer service,reporting,communication,organisation"
data analyst,01-07-2022,Advance Delivery Consulting (ADC),,,,,Masters,False,,,,,,sql,etl,"it,consulting,troubleshooting,analysis,reporting,data analysis,management,communication"
senior data engineer,01-07-2022,Pearson,3.7,,,Fulltime,,True,Temporarily,Sydney,New South Wales,-33.865,151.2094,"scikitlearn,xgboost,docker,keras,aws,jupyterlab,pandas,github,python","pipeline,research,machine learning,ai,analytics","research,flexible,analytical,analysis,collaboration,training,reporting,communication,organisation"
hybrid cloud database service engineer,04-07-2022,Department of Finance,3.9,,,"Fulltime, Contract",,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,"azure,sql,cloud",,"it,analysis,business analysis,management,planning,administration"
senior logistics data  publication specialist,01-07-2022,Boeing RIV Site,3.9,,,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,,,"innovative,flexible,analysis,training,respectful,management"
capability lead  data,30-06-2022,ARQ Group,3.9,,,"Fulltime, Permanent",,False,,Brisbane,Queensland,-27.4678,153.0281,"aws,azure,cloud,gcp","analytics,forecasting","business intelligence,stakeholder management,leadership,analytical,organisational,analysis,reporting,attention to detail,management,communication,planning,teamwork"
senior big data engineer,,GoTech Solutions Pty Ltd,,125000.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"cloud,hbase,hive",analytics,"it,consulting,management,data management"
data and technology officer aps6,28-06-2022,Ignite Specialist Recruitment Services,3.3,,,"Contract, Fixed term",,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,,geospatial,"management,it"
data analyst,28-06-2022,DXC Technology,3.2,,,Fulltime,,False,,Macquarie Park,New South Wales,,,"tableau,sql server,sql,qlik,oracle,javascript,power bi","cleaning,analytics,etl","stakeholder management,it,analytical,reporting,training,attention to detail,numeracy,presentation,management,communication"
lead developer clouddata development,01-07-2022,NSW Government -Customer Strategy & Technology,,127647.5,year,Fulltime,,True,Temporarily,Sydney,New South Wales,-33.865,151.2094,"azure,sql,cloud,python",ai,"innovative,flexible,it,consulting,communication,planning,networking,organisation"
data engineer,30-06-2022,Bloom,,,,Fulltime,,True,Hybrid,Brisbane,Queensland,-27.4678,153.0281,"tableau,sql,unix,snowflake,linux,nosql,s3,aws,cloud,power bi,python,ec2",,"business intelligence,business acumen,it,analytical,data management,management"
test analyst  manual  data,24-06-2022,HiTech Personnel,,,,"Contract, Fixed term",,False,,New South Wales,,,,,regression,"communication,motivated"
data engineer,29-06-2022,7-Eleven,3.5,,,Fulltime,,True,Fully,Victoria,,,,"sql,java,azure,power bi,scala,python",,"flexible,it,reporting,collaboration,management,communication,teamwork,organisation"
data tester,23-06-2022,COMPAS PTY LTD,,,,"Contract, Fixed term",,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,sql,"cleansing,regression","management,time management,confidence"
principal data scientist,28-06-2022,Enterprise IT Resources Pty Ltd,,197500.0,year,"Contract, Permanent",,False,,St Leonards,New South Wales,,,"sql,r,sas","research,segmentation,machine learning,forecasting,statistics,analytics,clustering,classification","negotiation,business acumen,research,it,analytical,risk management,management,communication,people management"
data analyst,01-07-2022,Sharp & Carter,4.8,,,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,"tableau,sql","research,normalization","management,independent,reporting,research"
data engineer,29-06-2022,Robert Walters,3.6,,,,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"sql,azure,aws,cloud,gcp",etl,"it,analytical,analysis,data analysis"
technical business analyst  data,,GWG,,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"azure,sql,sql server",analytics,"data analysis,reporting,analysis,organisation"
stream manager  innovation modelling and data science,01-07-2022,Southern NSW Local Health District,2.2,162967.5,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,,"analytics,classification","innovative,motivated,leadership,it,cooperation,organisational,team management,conflict resolution,management,organisation"
engineering executive manager data,30-06-2022,Commonwealth Bank,4.0,,,Fulltime,,False,,Sydney Central Business District,New South Wales,,,"kafka,nodejs,sql,snowflake,s3,aws,cloud,python,lambda","pipeline,analytics,etl,machine learning","leadership,it,analytical,collaboration,confidence,communication,coaching,critical thinking"
technical business analyst  data modelling,01-07-2022,AIA,4.3,,,Fulltime,Bachelors,False,,Sydney,New South Wales,-33.865,151.2094,"azure,cloud",analytics,"team leadership,flexible,leadership,it,analysis,training,data analysis,management,communication"
project management lead  data centre,24-06-2022,Turner & Townsend,3.7,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,net,,"flexible,leadership,motivated,reporting,project management,writing,management"
inside unstructured data solutions uds sales specialist  ngsa,24-06-2022,Dell Technologies,4.0,,,,,False,,St Leonards,New South Wales,,,,"ai,machine learning","innovative,coaching,flexible"
lawyer privacy  data,28-06-2022,Westpac Group,3.9,,,Fulltime,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,,,"flexible,it,time management,consulting,collaboration,training,relationship building,management,coaching,planning,teamwork"
data engineer,28-06-2022,Rubix Solutions,,140000.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"azure,sql,spark",analytics,"communication,networking"
data scientist  retail energy sector,04-07-2022,D'Arcy Weil,,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"sas,r,matlab","exploratory,machine learning,analytics,statistics,classification","innovative,decision making,visual communication,it,personal development,analysis,training,numeracy,communication,organisation"
senior commercial data manager,02-07-2022,SBS,3.7,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,,,"innovative,flexible,it,reporting,training,management,people management,organisation"
solution designer  data warehouse,25-06-2022,Manpower,3.8,,,Contract,,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,"oracle,sas,qlik,cognos","analytics,etl","it,communication,presenting,business intelligence"
database administrator  group it,04-07-2022,SMEC,4.0,,,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,"sql server,c,sql,azure,cloud,ssrs",etl,"it,troubleshooting,reporting,training,writing,administration"
principal consultant  data architecture  design,05-07-2022,ARQ Group,3.9,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,"sql server,ec2,sql,oracle,snowflake,nosql,s3,mysql,cloud,spark,redshift,bigquery,hadoop,lambda",analytics,"motivated,leadership,analytical,consulting,data management,management,communication,teamwork"
sr professional data developer,29-06-2022,CoreLogic,3.3,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"sql server,sql,cloud,aws,python,lambda","pipeline,etl","business intelligence,dedication,leadership,analysis,management,mentoring,creativity"
scrum master  data privacy,06-07-2022,Attribute Consulting,5.0,1050.0,day,Fulltime,Masters,False,,Sydney,New South Wales,-33.865,151.2094,,,"innovative,leadership,it,reporting,training,writing,coaching,planning"
data delivery lead,24-06-2022,Paxus Australia Pty Ltd,4.7,,,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"organisational,data management,project management,management,organisation"
technical business analyst  data modelling,01-07-2022,AIA,4.3,,,,Bachelors,False,,Sydney,New South Wales,-33.865,151.2094,"azure,cloud",analytics,"team leadership,flexible,leadership,it,analysis,training,data analysis,management,communication"
senior data scientist,29-06-2022,Findex,4.3,,,Fulltime,Masters,False,,,,,,"django,tableau,c,react,java,azure,cloud,aws,power bi,python","pipeline,pca,cnn,research,logistic,data mining,machine learning,artificial intelligence,ai,decision tree,rnn,analytics,regression","presenting,business intelligence,decision making,research,flexible,analytical,consulting,analysis,reporting"
solution director  data,30-06-2022,HUMANISED GROUP,,,,"Fulltime, Permanent",,False,,Brisbane,Queensland,-27.4678,153.0281,cloud,,management
data manager  head and neck surgery,23-06-2022,Chris O’Brien Lifehouse,,,,Fulltime,,False,,Camperdown,New South Wales,-38.2333,143.15,,"recommendations,research","business intelligence,independent,research,leadership,it,verbal communication,data management,troubleshooting,analysis,training,reporting,management,communication,planning"
data engineer platform devops,30-06-2022,Super Retail Group,3.7,,,"Fulltime, Permanent",,False,,Strathpine,Queensland,,,"sql,snowflake,nosql,aws,cloud,python",analytics,"business intelligence,decision making,flexible,it,collaboration,writing,management,organisation"
data analyst manager,02-07-2022,Southern NSW Local Health District,2.2,109421.0,year,"Fulltime, Permanent",,False,,Broken Hill,New South Wales,-31.9567,141.4678,"sql server,sql,excel",classification,"business intelligence,analytical,organisational,time management,data management,analysis,reporting,attention to detail,management,communication,planning"
data engineering manager,24-06-2022,DXC Technology,3.2,,,Fulltime,,False,,Macquarie Park,New South Wales,,,"tableau,sql server,kafka,sql,google cloud,oracle,snowflake,looker,azure,spark,aws,cloud,scala,python,power bi,r,hadoop","analytics,etl,ai","people management,it,training,presentation,management,communication,planning"
lead data engineer,05-07-2022,DXC Technology,3.2,,,Fulltime,,False,,Macquarie Park,New South Wales,,,"sql server,kafka,sql,snowflake,looker,spark,power bi,hive,tableau,r,sas,azure,scala,google cloud,oracle,aws,cloud,python,hadoop",etl,"team leadership,flexible,leadership,training,presentation,communication,planning,mentoring"
lead data scientist,01-07-2022,Peoplebank,4.7,,,Permanent,,False,,Perth Central Business District,Western Australia,,,"tableau,power bi,cloud","statistics,machine learning","communication,leading a team,flexible"
senior developer  data engineering,30-06-2022,AIA,4.3,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"sql server,sql,pyspark,azure,cloud,scala,python",analytics,"flexible,leadership,it,analytical,training"
network consultant  data centres and cisco aci,05-07-2022,Bluefin Resources,,,,"Contract, Fixed term",,True,Fully,Sydney,New South Wales,-33.865,151.2094,,,"self motivated,communication,consulting,motivated"
devops lead  data platforms manager,01-07-2022,Singtel Group,3.8,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"tableau,kafka,splunk,unix,java,spark,scala,python","pipeline,visualization","stakeholder management,motivated,leadership,it,analytical,data management,business management,management"
senior cloud data architect australia  aws,03-07-2022,DoiT International,,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,"google cloud,javascript,java,amazon web services,nosql,aws,cloud,python,redshift,sagemaker","optimizing,visualization,machine learning","personal development,reporting,analysis,training,communication,written communication,public speaking"
data engineer azure,02-07-2022,Talent International,4.4,154700.0,year,Fulltime,Bachelors,True,Fully,Brisbane,Queensland,-27.4678,153.0281,"kafka,postgres,sql,java,azure,nosql,spark,cloud,cassandra,python,hadoop,hive","pipeline,optimizing,analytics,statistics,classification","innovative,analytical,analysis,collaboration,project management,management,organisation"
data analytics engineer,28-06-2022,Paxus Australia Pty Ltd,4.7,,,Permanent,,False,,Bella Vista,New South Wales,,,"sql,google cloud,azure,gcp,cloud,python","analytics,machine learning",flexible
principal data modelling engineer,24-06-2022,BHP,4.1,,,,,False,,,,,,"sql,s3,cloud,aws,python,redshift,ec2","data mining,analytics,etl,classification","management,flexible,productivity"
senior associate consultant  big data solution design,05-07-2022,Infosys,3.9,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"sql server,kafka,hbase,sql,oracle,azure,spark,cloud,scala,aws,python,gcp,hadoop,hive","pipeline,probability","analytical,consulting,team player,leadership"
product owner  data transformation,30-06-2022,Lanson Partners Recruitment Pty Ltd,,180000.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"management,communication,stakeholder management,reporting"
data reliability engineer,29-06-2022,Latitude Financial Services,3.3,,,Fulltime,,False,,Docklands,Victoria,,,"c,snowflake,java,s3,cloud,aws,scala,python,airflow",,"energetic,team player,flexible,leadership"
data cabling technician,05-07-2022,Star Group,3.5,,,Apprenticeship,,False,,,,,,,,"flexible,leadership,organisation,motivated,it,personal development,training,attention to detail,writing,management,planning,administration"
technical data analyst  sql developer,29-06-2022,The Recruitment Company,,,,Contract,,False,,Sydney,New South Wales,-33.865,151.2094,"cloud,sql,aws",cleaning,"reporting,analysis,data analysis"
technical data designer,23-06-2022,BOEING,3.9,,,Permanent,,False,,Amberley,Queensland,,,,,"innovative,analytical,communication,respectful"
data architect,,Sustainability Consulting,,1225.0,day,"Contract, Fixed term",,True,Fully,Sydney,New South Wales,-33.865,151.2094,snowflake,,"leadership,organisation"
data centre manager,22-06-2022,Fujitsu,3.6,,,,,False,,North Ryde,New South Wales,,,,,"flexible,it,training,coordination,respectful,management,planning,supervising,organisation"
senior data engineer,29-06-2022,Sage,,,,,,True,Fully,,,,,"sql,snowflake,s3,spark,cloud,scala,mlflow,python,redshift,kubeflow,airflow","pipeline,exploratory,machine learning,artificial intelligence,ai,analytics,statistics","flexible,it,analytical,data management,business management,analysis,collaboration,writing,management,productivity"
database devops engineer,,Fortescue Metals Group,4.0,,,Fulltime,,False,,Perth,Western Australia,,,"sql server,sql,linux",pipeline,"it,management,reporting"
medical laboratory assistant  pathology collector phlebotomist data entry,25-06-2022,Southern NSW Local Health District,2.2,28.25,hour,"Parttime, Fixed term",,False,,Griffith,New South Wales,-34.29,146.04,,"research,classification","independent,data entry,research,analytical,customer service,analysis,training,attention to detail"
it administrative coordinator  asset data management,24-06-2022,HiTech Personnel,,,,"Contract, Fixed term",,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,,,"management,motivated,it,data management,administration"
bi data engineer,25-06-2022,Technology People Australia,,,,,,True,Hybrid,Brisbane,Queensland,-27.4678,153.0281,"sql server,sql,oracle",etl,"attention to detail,analysis"
data architect  databricks,,Halcyon Knights - LogicMelon,,200000.0,year,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"snowflake,azure,spark,aws,hive",,it
technical support engineer  mobile data network australia,30-06-2022,Chronos Consulting,,,,Fulltime,,True,Fully,,,,,,research,"flexible,research,motivated,self motivated,troubleshooting,reporting,training,communication,networking,team player"
technical lead  data engineering,28-06-2022,Shell Energy,,,,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,"sql,snowflake,s3,aws,cloud,python,lambda","analytics,forecasting","flexible,leadership,it,analytical,data management,collaboration,management,productivity"
business analytics  data team  commodities markets and finance  commodities and global markets anz,25-06-2022,Macquarie Group Limited,,,,"Fulltime, Permanent",,False,,Sydney,New South Wales,-33.865,151.2094,"tableau,sql,power bi,python,spotfire,hive",analytics,"innovative,flexible,it,analytical,analysis,reporting,data analysis,management"
data insights analyst  marketing,29-06-2022,Ampersand,,125000.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"sql,power bi,excel","cleaning,recommendations","analytical,reporting"
solution designer  data warehouse  bi,24-06-2022,HiTech Personnel,,,,"Contract, Fixed term",,True,Fully,New South Wales,,,,"oracle,qlik,cognos",,"it,communication,business intelligence,motivated"
technical business analyst  data,02-07-2022,Paxus Australia Pty Ltd,4.7,900.0,day,"Contract, Fixed term",,False,,Sydney Central Business District,New South Wales,,,"azure,sql",analytics,"it,flexible"
associate director  product manager data and connectivity,28-06-2022,Westpac Group,3.9,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"decision making,flexible,it,time management,project management,training,management,planning,organisation"
senior data engineer,05-07-2022,DWS,3.7,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,oracle,r,azure,aws,python,redshift,ssrs","tuning,machine learning,artificial intelligence,ai,analytics","it,consulting,analysis,project management,training,management,productivity"
user experience ux researcher  designer data and analytics,24-06-2022,Peoplebank,4.7,,,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,powerbi,"analytics,research","decision making,research,it,analytical,analysis,reporting,communication"
senior database administrator,29-06-2022,BAE Systems,3.8,,,,,False,,Streaky Bay,South Australia,,,"sql server,sql,unixlinux,oracle,azure,cloud,aws","tuning,research","administration,research,it,management,organisation"
solution architect  data  applications,28-06-2022,GMT People,,,,"Contract, Fixed term",,True,Fully,Melbourne,Victoria,-37.8136,144.9631,,,"resilience,organisation"
data centre sales  global account manager  telco,24-06-2022,Dell Technologies,4.0,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,,"ai,machine learning","innovative,decision making,flexible,leadership,motivated,consulting,collaboration,management,communication,relationship management,networking"
data migration lead,23-06-2022,HAYS,3.6,,,"Contract, Fixed term",,False,,Melbourne City Centre,Victoria,,,oracle,cleansing,"leadership,analytical,analysis,reporting,management,organisation"
database administrator,28-06-2022,BAE Systems,3.8,,,,,False,,Edinburgh,South Australia,,,"sql server,sql,oracle","tuning,research","research,organisation,it,customer service,resilience,analysis,management,administration"
data modeller,22-06-2022,Quinn Allan Executive Pty Ltd,,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"sql server,azure,sql,powerbi",visualization,"innovative,negotiation,verbal communication,strategic planning,reporting,attention to detail,writing,management,communication,organisation"
customer service  data administrator,23-06-2022,Becks Wiggins Stokes,,,,"Contract, Fixed term",,False,,Preston,Victoria,,,"salesforce,excel",,"energetic,motivated,it,customer service,verbal communication,reporting,attention to detail,presentation,communication"
project manager  data  insights,24-06-2022,Talent International,4.4,,,"Contract, Fixed term",,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,,,"innovative,independent,leadership,it,reporting,project management,management,planning,organisation"
data engineering technical lead,02-07-2022,Michael Page,3.5,179500.0,year,Permanent,,True,Hybrid,Melbourne South Eastern Suburbs,Victoria,,,"powerbi,snowflake,azure,power bi,github",,"management,leadership"
data  analytics technical consultant,23-06-2022,Exposé,,,,,,False,,Adelaide CBD,South Australia,,,"tableau,oracle,qlik,google analytics,aws,cloud","analytics,machine learning","business intelligence,flexible,analytical,consulting,verbal communication,reporting,management,communication,networking"
it data engineer,04-07-2022,Eldercare,3.6,,,"Fulltime, Permanent",,False,,Eastwood,South Australia,,,"sql server,sql,power bi",etl,"business intelligence,dedication,organisation,it,troubleshooting,reporting,training,respectful,management,teamwork,administration"
data architect  immediate start for a longterm program,01-07-2022,Advance Delivery Consulting (ADC),,,,,,False,,Victoria,,,,snowflake,"cleansing,etl","leadership,analysis,data analysis,presentation,management,communication"
data architect,,Tabcorp,3.8,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,,analytics,"business intelligence,flexible,leadership,data management,management,planning,mentoring"
data entry work with excel,,IN2 Staffing Solutions,3.6,32.0,hour,"Fulltime, Casual",,False,,Banksmeadow,New South Wales,,,excel,,data entry
data analyst,01-02-2023,L'Oreal,4.1,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"google analytics,python,sql,google cloud,r,bigquery,cloud,powerbi,tableau,excel","machine learning,analytics","analytical,it,organisation,consulting,communication,management,stakeholder management,flexible"
data collection agent  burwood  nsw,02-02-2023,Crossmark,3.5,,,Casual,,False,,Burwood,New South Wales,,,,,"training,time management,motivated,management,data entry,flexible,enthusiastic,reporting"
data entry casual,,Atomi,,28.34,hour,Casual,,True,Fully,Sydney,New South Wales,-33.865,151.2094,excel,,"training,flexible,confidence"
data entry client consultant,04-02-2023,Page Personnel,3.5,,,Fixed term,,True,Fully,Melbourne City Centre,Victoria,,,,cleansing,"independent,communication,data entry,analysis,decision making,reporting"
senior data analyst,01-02-2023,Telstra,4.0,,,"Fulltime, Permanent",,False,,,,,,"python,sql,power bi,azure,r,php,cloud,tableau,oracle","research,deep learning,ai,artificial intelligence,analytics,machine learning","research,negotiation,innovative,analytical,maths,data analysis,relationship management,business acumen,it,management,decision making,stakeholder management,planning,analysis,presentation,flexible,productivity"
administrator  data entry,04-02-2023,Fuse Recruitment,4.7,,,"Contract, Fixed term",,False,,Docklands,Victoria,,,,analytics,"training,innovative,adaptability,relationship building,communication,management,customer service,empathetic,entrepreneurial,risk management,attention to detail,administration"
data entry assistant,04-02-2023,"Palladium Group, Inc.",,,,"Contract, Seasonal",,False,,,,,,,"classification,cleaning","analytical,it,confidence,management,creativity,attention to detail,organisational,data entry,data management,analysis,administration,flexible,coordination,reporting"
ebusiness junior data analyst,02-02-2023,Nestle,4.2,,,Fulltime,,False,,North Sydney,New South Wales,,,"react,power bi,google analytics,excel","research,dashboard,statistics,recommendations,analytics,econometrics","research,analytical,innovative,time management,organisation,motivated,communication,management,attention to detail,presentation,business management,reporting"
data specialist  automotive,02-02-2023,S&P Global,3.9,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,power bi,tableau,sql server","etl,visualization","it,team player,planning,decision making,flexible,enthusiastic"
data entryadmin  graduate welcome  full training,01-02-2023,Conquest Personnel Pty Ltd,5.0,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,,,"training,it,writing,numeric,data entry"
business analystdata analyst,01-02-2023,Kraft Heinz Company,3.5,,,Internship,,True,Hybrid,Southbank,Victoria,,,,"research,statistics,kpi,analytics","research,training,it,presenting,communication,management,coaching"
financial administrator  data entry,01-02-2023,Commercial Eyes,,,,Parttime,,True,Fully,Melbourne,Victoria,-37.8136,144.9631,excel,"recurrent,analytics","collaboration,training,analytical,consulting,communication,management,business analysis,organisational,data entry,analysis,administration,flexible,reporting"
entry level data analyst  the data school,07-02-2023,MIP,,,,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,tableau,analytics,"it,training"
data entry officer,01-02-2023,Total Resource Solutions,,302.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,,,"management,attention to detail,data entry,analysis,data management"
data analyst,02-02-2023,Australian Retirement Trust,,,,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,"python,sql,power bi,r,excel",analytics,"analytical,respectful,business intelligence,organisation,business analysis,analysis,flexible"
specialist data analyst,03-02-2023,BHP,4.1,,,"Contract, Fixed term",,False,,Brisbane,Queensland,-27.4678,153.0281,"aws,snowflake","machine learning,analytics","innovative,data analysis,consulting,communication,management,analysis,presentation,flexible,enthusiastic,reporting"
sustainability data analyst,05-02-2023,JLL,3.7,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,"spark,excel",,"training,innovative,work ethic,organisation,it,teamwork,communication,management,entrepreneurial,data management,reporting"
junior data analyst,,INX Software,,,,Fulltime,,False,,Perth,Western Australia,,,"python,sql,snowflake,r,powerbi,tableau,excel","machine learning,statistics,etl,analytics","data analysis,it,consulting,management,stakeholder management,analysis,flexible,reporting"
data analyst,03-02-2023,XPT Software Australia PTY Ltd,,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,azure","etl,unsupervised,cleansing","innovative,data analysis,it,communication,attention to detail,analysis,reporting"
registrations  data entry clerk,04-02-2023,Frizelle Sunshine Automotive,,,,Parttime,,False,,Southport,Queensland,-27.9667,153.4,excel,,"mentoring,time management,motivated,communication,management,data entry"
people data analyst,02-02-2023,Virgin Australia,4.1,,,"Contract, Fixed term",,True,Fully,Brisbane,Queensland,-27.4678,153.0281,"power bi,excel,vba","recommendations,analytics","analytical,data analysis,communication,management,coaching,analysis,decision making,relationship building,leadership,data management,reporting"
data entry,02-02-2023,Bali Staff Solutions,,,,Fulltime,,False,,Hallam,Victoria,,,,,"numeracy,time management,work ethic,literacy,teamwork,communication,management,planning,data entry,verbal communication,enthusiastic"
data analyst,01-02-2023,Careers at Eucalyptus,,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"r,python,tableau,excel",analytics,"organisation,presenting,consulting,communication,resourceful,decision making,verbal communication,reporting"
data entry broadmeadows,03-02-2023,Talent International,4.4,31.5,hour,Fulltime,,False,,Broadmeadows,Victoria,,,,,"attention to detail,data entry,communication,management"
data analyst,02-02-2023,Allianz Technology,3.9,,,"Fulltime, Permanent",,True,Hybrid,North Sydney,New South Wales,,,sql,analytics,"training,data analysis,written communication,business intelligence,it,communication,management,analysis,data management,reporting"
hr reporting  data analyst,31-01-2023,QIC Limited,,,,"Fulltime, Fixed term",,False,,Brisbane,Queensland,-27.4678,153.0281,"powerbi,excel,oracle,cloud",,"training,innovative,it,planning,flexible,reporting"
